Hits,HOF
972,0
989,0
1007,0
1030,0
1041,0
1043,0
1046,0
1049,0
1051,0
1056,0
1060,0
1061,0
1061,0
1064,0
1068,0
1069,0
1075,0
1084,0
1087,0
1091,0
1092,0
1093,0
1099,0
1102,0
1103,0
1103,0
1103,0
1103,0
1105,0
1106,0
1109,0
1109,0
1113,0
1114,0
1118,0
1120,0
1121,0
1122,0
1122,0
1123,0
1127,0
1131,0
1132,0
1138,0
1142,0
1142,0
1142,0
1144,0
1146,0
1146,0
1146,0
1146,0
1146,0
1147,0
1149,0
1151,0
1154,0
1160,0
1161,1
1163,0
1164,0
1167,0
1168,0
1168,0
1170,0
1170,0
1171,0
1171,0
1173,0
1173,0
1176,0
1176,0
1176,0
1176,0
1177,0
1178,0
1185,0
1185,0
1187,0
1187,0
1189,0
1190,0
1194,0
1195,0
1195,0
1196,0
1198,0
1199,0
1202,0
1203,0
1203,0
1203,0
1205,0
1206,0
1207,0
1211,0
1214,0
1214,0
1215,0
1216,0
1216,0
1217,0
1219,0
1219,1
1220,0
1222,0
1222,0
1224,0
1225,0
1226,0
1226,0
1227,0
1227,0
1229,0
1229,0
1230,0
1230,0
1231,0
1233,0
1235,0
1235,0
1236,0
1238,0
1239,0
1239,0
1240,0
1241,0
1242,0
1243,0
1243,0
1245,0
1246,0
1246,0
1247,0
1250,0
1251,0
1252,1
1252,0
1252,0
1252,0
1253,0
1254,0
1254,0
1257,0
1257,0
1257,0
1259,0
1260,0
1262,0
1262,0
1268,0
1268,0
1269,0
1270,0
1270,0
1273,0
1273,1
1273,0
1273,0
1274,0
1276,0
1278,0
1278,0
1279,0
1281,0
1283,0
1290,0
1291,0
1292,0
1292,0
1294,0
1296,0
1296,1
1297,1
1297,0
1298,0
1301,0
1301,0
1302,0
1302,0
1303,0
1306,0
1308,0
1308,0
1309,0
1310,0
1311,0
1311,0
1312,0
1313,0
1313,0
1314,0
1315,0
1316,0
1316,0
1318,0
1318,0
1318,0
1320,1
1321,0
1321,0
1323,0
1324,0
1325,0
1325,0
1328,0
1329,0
1329,0
1331,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1336,0
1338,0
1339,0
1340,0
1340,0
1340,0
1341,0
1342,0
1342,0
1342,0
1344,0
1344,0
1345,1
1349,0
1351,0
1352,0
1354,0
1355,0
1356,0
1357,0
1358,0
1358,0
1359,0
1361,0
1363,0
1364,0
1366,0
1366,0
1366,0
1369,0
1370,0
1375,0
1376,0
1376,0
1377,0
1379,0
1379,0
1379,0
1380,0
1382,0
1382,0
1383,0
1388,1
1390,0
1391,0
1393,0
1394,0
1395,0
1396,0
1397,0
1399,0
1400,0
1401,0
1401,0
1401,0
1402,0
1407,0
1415,0
1415,0
1415,0
1415,0
1417,0
1417,0
1418,0
1418,0
1420,0
1421,0
1422,0
1423,0
1424,0
1425,0
1429,0
1430,0
1432,0
1432,0
1439,0
1440,0
1440,0
1442,0
1443,0
1446,0
1447,0
1447,0
1448,0
1450,0
1451,1
1453,0
1454,0
1454,0
1454,0
1455,0
1455,0
1458,0
1461,0
1461,1
1463,0
1463,0
1464,0
1466,1
1468,0
1469,0
1471,0
1471,0
1473,0
1474,1
1475,0
1477,0
1478,0
1482,0
1482,0
1482,0
1484,0
1484,0
1485,0
1486,0
1487,0
1488,0
1490,0
1491,0
1491,1
1492,0
1493,0
1493,0
1494,0
1494,0
1499,0
1500,0
1501,0
1502,0
1502,0
1505,0
1506,0
1507,0
1507,0
1508,0
1513,0
1515,1
1515,0
1515,0
1516,0
1518,0
1518,1
1521,0
1526,0
1527,1
1529,0
1530,1
1530,0
1534,0
1537,0
1541,0
1543,0
1544,0
1546,0
1546,0
1547,1
1550,0
1552,0
1553,0
1557,0
1558,0
1558,0
1561,0
1562,0
1562,0
1562,0
1563,0
1563,0
1564,0
1564,0
1565,0
1566,0
1566,0
1570,0
1570,0
1571,0
1575,0
1575,0
1576,0
1576,0
1578,0
1580,0
1582,0
1585,0
1588,0
1588,0
1588,1
1591,0
1591,0
1593,0
1594,0
1596,0
1599,0
1604,0
1604,0
1608,0
1609,0
1613,0
1613,0
1614,0
1615,0
1615,0
1617,0
1618,0
1618,0
1619,0
1619,0
1621,0
1623,0
1626,0
1628,1
1631,0
1634,0
1639,0
1643,0
1647,0
1651,0
1652,1
1658,0
1659,1
1660,0
1660,0
1665,0
1671,0
1671,0
1677,0
1678,0
1680,0
1682,0
1687,0
1687,0
1687,1
1688,0
1691,0
1692,1
1692,0
1693,0
1694,0
1696,0
1696,0
1700,0
1701,0
1702,0
1703,0
1705,0
1705,0
1706,0
1706,0
1710,0
1711,0
1714,0
1716,0
1720,0
1723,0
1725,0
1726,0
1726,0
1726,0
1729,0
1730,0
1747,1
1748,0
1749,0
1751,0
1752,1
1757,0
1759,0
1759,0
1764,0
1766,0
1766,0
1768,1
1772,0
1774,0
1774,0
1776,0
1777,0
1778,1
1779,1
1782,0
1789,0
1790,0
1792,1
1795,0
1796,0
1797,0
1802,0
1803,0
1803,0
1804,0
1806,0
1806,0
1818,0
1820,0
1823,0
1826,0
1826,0
1832,0
1833,0
1833,0
1838,1
1838,0
1838,0
1840,1
1841,0
1841,0
1848,0
1854,0
1859,0
1861,0
1862,0
1863,0
1866,1
1868,0
1875,0
1876,0
1877,0
1884,0
1886,0
1887,0
1889,0
1897,0
1906,0
1906,0
1910,0
1912,1
1913,0
1913,0
1917,0
1920,0
1921,0
1925,0
1926,0
1926,0
1929,0
1931,0
1931,0
1934,0
1934,0
1941,0
1941,0
1944,0
1949,0
1954,0
1958,0
1960,0
1963,0
1969,1
1977,0
1979,1
1980,0
1981,0
1981,0
1990,0
1991,0
1992,0
1993,0
1996,0
1999,1
2004,1
2006,0
2007,0
2008,0
2010,0
2011,0
2011,1
2016,1
2018,0
2019,1
2020,0
2020,0
2023,0
2029,0
2031,0
2042,1
2044,0
2048,1
2051,0
2054,1
2060,0
2061,0
2063,0
2063,0
2064,0
2074,0
2076,1
2077,0
2084,0
2085,0
2086,1
2087,0
2089,0
2091,0
2092,1
2092,0
2096,0
2099,0
2100,0
2101,0
2103,1
2105,0
2109,0
2111,0
2116,1
2121,0
2127,0
2131,0
2134,0
2135,0
2138,0
2138,0
2143,0
2143,0
2143,0
2150,1
2150,0
2153,0
2158,0
2158,1
2165,0
2169,0
2170,1
2176,0
2182,0
2184,0
2191,0
2192,0
2193,0
2193,1
2207,0
2210,0
2211,1
2212,0
2214,1
2220,1
2223,0
2225,0
2226,1
2231,0
2232,1
2234,1
2249,0
2251,0
2252,0
2253,0
2254,0
2254,0
2256,0
2276,0
2280,0
2282,1
2285,1
2296,1
2299,1
2299,0
2304,1
2309,1
2313,1
2315,1
2326,0
2326,0
2342,0
2345,1
2351,1
2352,0
2356,1
2365,0
2369,0
2375,0
2376,1
2380,0
2383,1
2386,1
2405,0
2415,1
2416,1
2446,0
2449,1
2452,1
2457,0
2459,1
2460,1
2466,1
2471,1
2472,0
2495,0
2502,0
2514,0
2517,1
2524,1
2532,0
2561,0
2574,1
2583,1
2584,1
2596,1
2599,0
2605,1
2643,1
2645,0
2646,1
2654,1
2660,1
2660,1
2663,1
2665,1
2672,1
2677,1
2705,0
2711,1
2712,0
2715,0
2716,0
2721,1
2732,1
2735,1
2743,0
2749,1
2757,0
2774,1
2812,1
2839,1
2848,1
2850,1
2866,0
2873,1
2876,1
2880,1
2884,1
2927,1
2930,1
2930,1
2932,1
2943,1
2961,1
2987,1
3000,1
3007,1
3010,1
3023,1
3053,1
3110,1
3141,1
3142,1
3152,1
3154,1
3184,1
3242,1
3255,1
3283,1
3315,1
3319,1
3415,1
3419,1
3514,1
3630,1
3771,1
4189,1
4256,0
